disease_name,url
3D Printing,https://www.cdc.gov/niosh/manufacturing/additive/index.html
ACIP Recommendations,https://www.cdc.gov/acip-recs/site.html
ADHD,https://www.cdc.gov/adhd/
AFIX Immunization Strategy,https://www.cdc.gov/iqip/hcp/at-a-glance/index.html
ARRA — see Recovery Act,https://www.cdc.gov/funding/
Abortion Surveillance,https://www.cdc.gov/reproductive-health/data-statistics/abortion-surveillance-system.html
"Abuse, Child — see Child Abuse and Neglect Prevention",https://www.cdc.gov/child-abuse-neglect/about/index.html
"Abuse, Elder — see Elder Abuse",https://www.cdc.gov/elder-abuse/about/index.html
Abusive Head Trauma,https://www.cdc.gov/child-abuse-neglect/about/about-abusive-head-trauma.html
AcanthamoebaInfection,https://www.cdc.gov/acanthamoeba/about/
Accreditation — see Health Department Accreditation,https://www.cdc.gov/public-health-gateway/php/our-work/health-department-accreditation.html
AcinetobacterInfection,https://www.cdc.gov/acinetobacter/about/index.html
Acquisition,https://www.cdc.gov/contracts/
Active Bacterial Core surveillance (ABCs),https://www.cdc.gov/abcs/index.html
Acute Bronchitis,https://www.cdc.gov/acute-bronchitis/about/index.html
Acute Flaccid Myelitis (AFM),https://www.cdc.gov/acute-flaccid-myelitis/index.html
Adenovirus Vaccination,https://www.cdc.gov/vaccines/hcp/current-vis/adenovirus.html
Adenoviruses,https://www.cdc.gov/adenovirus/about/index.html
Adolescent Health,https://www.cdc.gov/healthy-youth/
Adolescent Pregnancy — see Teen Pregnancy,https://www.cdc.gov/reproductive-health/teen-pregnancy/
Advanced Molecular Detection (AMD),https://www.cdc.gov/advanced-molecular-detection/index.html
Advancing Excellence & Integrity of CDC Science — see Science,https://www.cdc.gov/os/
Adverse Childhood Experiences (ACEs),https://www.cdc.gov/aces/site.html
Adverse Drug Events — see Medication Safety,https://www.cdc.gov/medication-safety/
Adverse Events Following Immunization — see Vaccine Adverse Event Reporting System (VAERS),https://www.cdc.gov/vaccine-safety-systems/vaers/index.html
Advisory Committee on Immunization Practices (ACIP),https://www.cdc.gov/acip/index.html
Advisory Committees,https://www.cdc.gov/faca/index.html
Aerosols,https://www.cdc.gov/niosh/aerosols/about/
African trypanosomiasis — see Sleeping Sickness,https://www.cdc.gov/sleeping-sickness/about/index.html
"Agents, Chemical — see Chemical Agents",https://emergency.cdc.gov/agent/agentlistchem.asp
Aging,https://www.cdc.gov/healthy-aging/index.html
Aging in the Workplace,https://www.cdc.gov/niosh/aging/about/
Agricultural Safety — see Farm Worker Safety and Health,https://www.cdc.gov/niosh/agriculture/about/
Agricultural Water,https://www.cdc.gov/agricultural-water/about/index.html
Agriculture Worker Safety and Health — see Farm Worker Safety and Health,https://www.cdc.gov/niosh/agriculture/about/
Air Pollutants,https://www.cdc.gov/air-quality/pollutants/index.html
Air Quality,https://www.cdc.gov/air-quality/about/index.html
Alcohol & Pregnancy,https://www.cdc.gov/alcohol-pregnancy/
Alcohol Use,https://www.cdc.gov/alcohol/
"Algal Blooms, Harmful (HABs)",https://www.cdc.gov/harmful-algal-blooms/about/index.html
Alkhurma hemorrhagic fever,https://www.cdc.gov/alkhurma/about/
Alkhurma hemorrhagic fever (AHF),https://www.cdc.gov/alkhurma/about/
Alpha-gal Syndrome,https://www.cdc.gov/alpha-gal-syndrome/about/index.html
Alzheimer's Disease and Dementia,https://www.cdc.gov/alzheimers-dementia/index.html
Amebiasis,https://www.cdc.gov/amebiasis/
Amebic Meningitis,https://www.cdc.gov/meningitis/about/amebic-meningitis.html
American Trypanosomiasis — see Chagas Disease,https://www.cdc.gov/chagas/
Ammonia,https://emergency.cdc.gov/agent/ammonia/index.asp
